id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
5400,Ligonchio,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VENTASSO,0,44.317,10.3449,607253,4.90796e+06,900,10.8
5401,Neviano Arduini,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,NEVIANO DEGLI ARDUINI,0,44.5834,10.3138,604292,4.93751e+06,513,14
5402,Montegroppo,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,ALBARETO,1,44.4188,9.68641,554643,4.91862e+06,656,8.29999
5404,Pianello Val Tidone,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,PIANELLO VAL TIDONE,0,44.9371,9.43104,534010,4.97606e+06,410,12.7
5405,Bosco di Corniglio,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,CORNIGLIO,0,44.439,10.0335,582249,4.92115e+06,902,8.59999
5406,Salsomaggiore,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,SALSOMAGGIORE TERME,0,44.819,9.99125,578371,4.96332e+06,146,11.8
5407,Casoni di Santa Maria di Taro,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,TORNOLO,1,44.4375,9.4807,538256,4.92058e+06,853,6.69999
5408,La Stella,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CASINA,0,44.5299,10.4907,618448,4.93181e+06,729,10.6
5409,Febbio,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VILLA MINOZZO,1,44.2979,10.4275,613874,4.90595e+06,1148,8.09999
5410,Farneta,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,MONTEFIORINO,0,44.3499,10.5701,625142,4.91193e+06,703,11.1
5412,Collagna,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VENTASSO,0,44.3448,10.2712,601326,4.91095e+06,832,8.39999
5413,Montese,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,MONTESE,0,44.2769,10.9421,654977,4.90446e+06,920,11.3
5416,Trebbia Valsigiara,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,OTTONE,1,44.6402,9.33012,526180,4.94304e+06,462,10.9
5422,Ponte Cavola,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CARPINETI,1,44.4093,10.523,621264,4.91847e+06,367,13
5423,Berceto,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BERCETO,0,44.5105,9.98301,578133,4.92904e+06,758,8.99999
5424,Villa Minozzo,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VILLA MINOZZO,0,44.3625,10.46,616342,4.91318e+06,704,11.3
5429,Badia Tedalda,simnbo,ITALY,TOSCANA,AREZZO,BADIA TEDALDA,0,43.6922,12.1362,752746,4.84247e+06,850,4.19999
5442,Serramazzoni,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,SERRAMAZZONI,0,44.4289,10.7871,642242,4.92106e+06,826,9.29999
5444,Cesenatico porto,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,CESENATICO,1,44.2065,12.4013,771755,4.90043e+06,1,10.4
5452,Barco,simnbo,ITALY,TOSCANA,FIRENZE,FIRENZUOLA,0,44.0609,11.3982,692081,4.88143e+06,720,5.29999
5458,Monghidoro,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,MONGHIDORO,0,44.2252,11.3236,685591,4.89951e+06,825,11.5
5459,Treppio,simnbo,ITALY,TOSCANA,PISTOIA,SAMBUCA PISTOIESE,1,44.0816,11.033,662768,4.88294e+06,650,11.8
5463,San Valentino,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CASTELLARANO,0,44.5237,10.6992,635028,4.93145e+06,302,12.9
5464,Ramiseto,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,VENTASSO,0,44.4114,10.2756,601562,4.91836e+06,798,10.9
5465,Predolo,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CASTELNOVO NE' MONTI,0,44.4844,10.4468,615045,4.9267e+06,751,12.1
